EARLY_FILL_Y,EARLY_KILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.07,0.0,1.8743,322.34,-60.63,-17.056,5.317,1.1442,False
0.07,0.0005,2.4543,600.79,-41.958,-16.373,14.319,0.6499,False
0.07,0.0008,2.6136,685.84,-41.481,-16.373,16.534,0.6671,False
0.07,0.001,2.809,778.35,-37.18,-16.373,20.935,0.6721,False
0.07,0.0015,2.7365,680.94,-34.641,-16.373,19.657,0.6533,False
0.07,0.002,2.8667,722.98,-27.234,-16.373,26.547,0.6465,False
0.07,0.0025,2.8108,677.54,-27.518,-16.373,24.622,0.7095,False
0.07,0.003,2.9055,705.87,-24.916,-16.373,28.33,0.6739,False
0.08,0.0,2.1215,464.73,-58.728,-17.056,7.913,1.0618,False
0.08,0.0005,2.542,739.99,-41.958,-16.373,17.636,0.6782,False
0.08,0.0008,2.6229,771.19,-41.481,-16.373,18.591,0.7414,False
0.08,0.001,2.8387,893.51,-39.336,-16.373,22.715,0.7443,False
0.08,0.0015,2.6733,730.84,-40.556,-16.373,18.021,0.7451,False
0.08,0.002,2.8635,820.1,-31.829,-16.373,25.766,0.6813,False
0.08,0.0025,2.8349,792.58,-31.853,-16.373,24.883,0.7174,False
0.08,0.003,2.9861,868.03,-31.853,-15.957,27.251,0.6738,False
0.09,0.0,2.2951,621.31,-55.227,-17.056,11.25,0.9386,False
0.09,0.0005,2.7405,987.35,-40.419,-16.373,24.428,0.572,False
0.09,0.0008,2.9031,1132.94,-39.931,-16.373,28.373,0.6084,False
0.09,0.001,3.1381,1305.91,-36.626,-16.373,35.655,0.6118,False
0.09,0.0015,3.0449,1085.17,-33.767,-16.373,32.137,0.5584,False
0.09,0.002,3.0944,1080.95,-30.969,-16.373,34.904,0.5622,False
0.09,0.0025,3.0816,1028.29,-31.055,-16.373,33.112,0.5895,False
0.09,0.003,3.1817,1077.28,-31.055,-15.083,34.689,0.5557,False
0.1,0.0,1.9711,447.56,-64.011,-17.056,6.992,1.072,False
0.1,0.0005,2.2446,631.21,-48.382,-17.056,13.046,0.7877,False
0.1,0.0008,2.361,707.9,-48.382,-17.056,14.631,0.8202,False
0.1,0.001,2.4626,763.61,-48.382,-17.056,15.783,0.8267,False
0.1,0.0015,2.3809,647.62,-46.771,-17.056,13.847,0.7854,False
0.1,0.002,2.3963,659.4,-46.848,-17.056,14.075,0.791,False
0.1,0.0025,2.3893,642.76,-46.953,-17.056,13.689,0.8484,False
0.1,0.003,2.4799,693.01,-46.953,-17.056,14.76,0.8,False
0.15,0.0,2.206,746.09,-60.912,-17.056,12.249,0.8836,False
0.15,0.0005,2.452,1015.46,-47.818,-17.056,21.236,0.6956,False
0.15,0.0008,2.5736,1162.95,-47.818,-17.056,24.32,0.7411,False
