PORT_SL,PORT_TSL,EARLY_KILL_Y,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
-0.08,0.095,0.003,1.4823,189.07,-70.261,2.691,0.5592,False
-0.08,0.1,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.1,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.1,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.105,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.105,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.105,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.11,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.11,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.11,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.115,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.115,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.115,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.12,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.12,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.12,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.125,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.125,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.125,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.13,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.13,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.08,0.13,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.04,0.001,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.09,0.04,0.0015,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.09,0.04,0.003,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.09,0.045,0.001,0.6465,14.79,-65.697,0.225,1.7028,False
-0.09,0.045,0.0015,0.6465,14.79,-65.697,0.225,1.7028,False
-0.09,0.045,0.003,0.6465,14.79,-65.697,0.225,1.7028,False
-0.09,0.05,0.001,0.9995,72.27,-67.218,1.075,0.9339,False
-0.09,0.05,0.0015,0.9995,72.27,-67.218,1.075,0.9339,False
-0.09,0.05,0.003,0.9995,72.27,-67.218,1.075,0.9339,False
-0.09,0.055,0.001,1.0534,83.84,-66.205,1.266,0.8943,False
-0.09,0.055,0.0015,1.0534,83.84,-66.205,1.266,0.8943,False
-0.09,0.055,0.003,1.0534,83.84,-66.205,1.266,0.8943,False
-0.09,0.06,0.001,1.4932,194.3,-67.3,2.887,0.5705,False
-0.09,0.06,0.0015,1.4932,194.3,-67.3,2.887,0.5705,False
-0.09,0.06,0.003,1.4932,194.3,-67.3,2.887,0.5705,False
-0.09,0.065,0.001,1.4036,169.78,-67.3,2.523,0.627,False
-0.09,0.065,0.0015,1.4036,169.78,-67.3,2.523,0.627,False
-0.09,0.065,0.003,1.4036,169.78,-67.3,2.523,0.627,False
-0.09,0.075,0.001,1.1687,106.74,-68.66,1.555,0.8276,False
-0.09,0.075,0.0015,1.1687,106.74,-68.66,1.555,0.8276,False
-0.09,0.075,0.003,1.1687,106.74,-68.66,1.555,0.8276,False
-0.09,0.08,0.001,1.5362,204.36,-68.66,2.976,0.5445,False
-0.09,0.08,0.0015,1.5362,204.36,-68.66,2.976,0.5445,False
-0.09,0.08,0.003,1.5362,204.36,-68.66,2.976,0.5445,False
-0.09,0.085,0.001,1.5145,198.07,-69.285,2.859,0.5503,False
-0.09,0.085,0.0015,1.5145,198.07,-69.285,2.859,0.5503,False
-0.09,0.085,0.003,1.5145,198.07,-69.285,2.859,0.5503,False
-0.09,0.09,0.001,1.5002,194.07,-69.712,2.784,0.5543,False
-0.09,0.09,0.0015,1.5002,194.07,-69.712,2.784,0.5543,False
-0.09,0.09,0.003,1.5002,194.07,-69.712,2.784,0.5543,False
-0.09,0.095,0.001,1.4823,189.07,-70.261,2.691,0.5592,False
-0.09,0.095,0.0015,1.4823,189.07,-70.261,2.691,0.5592,False
-0.09,0.095,0.003,1.4823,189.07,-70.261,2.691,0.5592,False
-0.09,0.1,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.1,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.1,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.105,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.105,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.105,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.11,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.11,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.11,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.115,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.115,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.115,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.12,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.12,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.12,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.125,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.125,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.125,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.13,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.13,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.09,0.13,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.04,0.001,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.1,0.04,0.0015,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.1,0.04,0.003,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.1,0.045,0.001,0.6465,14.79,-65.697,0.225,1.7028,False
-0.1,0.045,0.0015,0.6465,14.79,-65.697,0.225,1.7028,False
-0.1,0.045,0.003,0.6465,14.79,-65.697,0.225,1.7028,False
-0.1,0.05,0.001,0.9995,72.27,-67.218,1.075,0.9339,False
-0.1,0.05,0.0015,0.9995,72.27,-67.218,1.075,0.9339,False
-0.1,0.05,0.003,0.9995,72.27,-67.218,1.075,0.9339,False
-0.1,0.055,0.001,1.0534,83.84,-66.205,1.266,0.8943,False
-0.1,0.055,0.0015,1.0534,83.84,-66.205,1.266,0.8943,False
-0.1,0.055,0.003,1.0534,83.84,-66.205,1.266,0.8943,False
-0.1,0.06,0.001,1.4932,194.3,-67.3,2.887,0.5705,False
-0.1,0.06,0.0015,1.4932,194.3,-67.3,2.887,0.5705,False
-0.1,0.06,0.003,1.4932,194.3,-67.3,2.887,0.5705,False
-0.1,0.065,0.001,1.4036,169.78,-67.3,2.523,0.627,False
-0.1,0.065,0.0015,1.4036,169.78,-67.3,2.523,0.627,False
-0.1,0.065,0.003,1.4036,169.78,-67.3,2.523,0.627,False
-0.1,0.075,0.001,1.1687,106.74,-68.66,1.555,0.8276,False
-0.1,0.075,0.0015,1.1687,106.74,-68.66,1.555,0.8276,False
-0.1,0.075,0.003,1.1687,106.74,-68.66,1.555,0.8276,False
-0.1,0.08,0.001,1.5362,204.36,-68.66,2.976,0.5445,False
-0.1,0.08,0.0015,1.5362,204.36,-68.66,2.976,0.5445,False
-0.1,0.08,0.003,1.5362,204.36,-68.66,2.976,0.5445,False
-0.1,0.085,0.001,1.5145,198.07,-69.285,2.859,0.5503,False
-0.1,0.085,0.0015,1.5145,198.07,-69.285,2.859,0.5503,False
-0.1,0.085,0.003,1.5145,198.07,-69.285,2.859,0.5503,False
-0.1,0.09,0.001,1.5002,194.07,-69.712,2.784,0.5543,False
-0.1,0.09,0.0015,1.5002,194.07,-69.712,2.784,0.5543,False
-0.1,0.09,0.003,1.5002,194.07,-69.712,2.784,0.5543,False
-0.1,0.095,0.001,1.4823,189.07,-70.261,2.691,0.5592,False
-0.1,0.095,0.0015,1.4823,189.07,-70.261,2.691,0.5592,False
-0.1,0.095,0.003,1.4823,189.07,-70.261,2.691,0.5592,False
-0.1,0.1,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.1,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.1,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.105,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.105,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.105,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.11,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.11,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.11,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.115,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.115,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.115,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.12,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.12,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.12,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.125,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.125,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.125,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.13,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.13,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.1,0.13,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.04,0.001,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.11,0.04,0.0015,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.11,0.04,0.003,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.11,0.045,0.001,0.6465,14.79,-65.697,0.225,1.7028,False
-0.11,0.045,0.0015,0.6465,14.79,-65.697,0.225,1.7028,False
-0.11,0.045,0.003,0.6465,14.79,-65.697,0.225,1.7028,False
-0.11,0.05,0.001,0.9995,72.27,-67.218,1.075,0.9339,False
-0.11,0.05,0.0015,0.9995,72.27,-67.218,1.075,0.9339,False
-0.11,0.05,0.003,0.9995,72.27,-67.218,1.075,0.9339,False
-0.11,0.055,0.001,1.0534,83.84,-66.205,1.266,0.8943,False
-0.11,0.055,0.0015,1.0534,83.84,-66.205,1.266,0.8943,False
-0.11,0.055,0.003,1.0534,83.84,-66.205,1.266,0.8943,False
-0.11,0.06,0.001,1.4932,194.3,-67.3,2.887,0.5705,False
-0.11,0.06,0.0015,1.4932,194.3,-67.3,2.887,0.5705,False
-0.11,0.06,0.003,1.4932,194.3,-67.3,2.887,0.5705,False
-0.11,0.065,0.001,1.4036,169.78,-67.3,2.523,0.627,False
-0.11,0.065,0.0015,1.4036,169.78,-67.3,2.523,0.627,False
-0.11,0.065,0.003,1.4036,169.78,-67.3,2.523,0.627,False
-0.11,0.075,0.001,1.1687,106.74,-68.66,1.555,0.8276,False
-0.11,0.075,0.0015,1.1687,106.74,-68.66,1.555,0.8276,False
-0.11,0.075,0.003,1.1687,106.74,-68.66,1.555,0.8276,False
-0.11,0.08,0.001,1.5362,204.36,-68.66,2.976,0.5445,False
-0.11,0.08,0.0015,1.5362,204.36,-68.66,2.976,0.5445,False
-0.11,0.08,0.003,1.5362,204.36,-68.66,2.976,0.5445,False
-0.11,0.085,0.001,1.5145,198.07,-69.285,2.859,0.5503,False
-0.11,0.085,0.0015,1.5145,198.07,-69.285,2.859,0.5503,False
-0.11,0.085,0.003,1.5145,198.07,-69.285,2.859,0.5503,False
-0.11,0.09,0.001,1.5002,194.07,-69.712,2.784,0.5543,False
-0.11,0.09,0.0015,1.5002,194.07,-69.712,2.784,0.5543,False
-0.11,0.09,0.003,1.5002,194.07,-69.712,2.784,0.5543,False
-0.11,0.095,0.001,1.4823,189.07,-70.261,2.691,0.5592,False
-0.11,0.095,0.0015,1.4823,189.07,-70.261,2.691,0.5592,False
-0.11,0.095,0.003,1.4823,189.07,-70.261,2.691,0.5592,False
-0.11,0.1,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.1,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.1,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.105,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.105,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.105,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.11,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.11,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.11,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.115,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.115,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.115,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.12,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.12,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.12,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.125,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.125,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.125,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.13,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.13,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.11,0.13,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.04,0.001,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.12,0.04,0.0015,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.12,0.04,0.003,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.12,0.045,0.001,0.6465,14.79,-65.697,0.225,1.7028,False
-0.12,0.045,0.0015,0.6465,14.79,-65.697,0.225,1.7028,False
-0.12,0.045,0.003,0.6465,14.79,-65.697,0.225,1.7028,False
-0.12,0.05,0.001,0.9995,72.27,-67.218,1.075,0.9339,False
-0.12,0.05,0.0015,0.9995,72.27,-67.218,1.075,0.9339,False
-0.12,0.05,0.003,0.9995,72.27,-67.218,1.075,0.9339,False
-0.12,0.055,0.001,1.0534,83.84,-66.205,1.266,0.8943,False
-0.12,0.055,0.0015,1.0534,83.84,-66.205,1.266,0.8943,False
-0.12,0.055,0.003,1.0534,83.84,-66.205,1.266,0.8943,False
-0.12,0.06,0.001,1.4932,194.3,-67.3,2.887,0.5705,False
-0.12,0.06,0.0015,1.4932,194.3,-67.3,2.887,0.5705,False
-0.12,0.06,0.003,1.4932,194.3,-67.3,2.887,0.5705,False
-0.12,0.065,0.001,1.4036,169.78,-67.3,2.523,0.627,False
-0.12,0.065,0.0015,1.4036,169.78,-67.3,2.523,0.627,False
-0.12,0.065,0.003,1.4036,169.78,-67.3,2.523,0.627,False
-0.12,0.075,0.001,1.1687,106.74,-68.66,1.555,0.8276,False
-0.12,0.075,0.0015,1.1687,106.74,-68.66,1.555,0.8276,False
-0.12,0.075,0.003,1.1687,106.74,-68.66,1.555,0.8276,False
-0.12,0.08,0.001,1.5362,204.36,-68.66,2.976,0.5445,False
-0.12,0.08,0.0015,1.5362,204.36,-68.66,2.976,0.5445,False
-0.12,0.08,0.003,1.5362,204.36,-68.66,2.976,0.5445,False
-0.12,0.085,0.001,1.5145,198.07,-69.285,2.859,0.5503,False
-0.12,0.085,0.0015,1.5145,198.07,-69.285,2.859,0.5503,False
-0.12,0.085,0.003,1.5145,198.07,-69.285,2.859,0.5503,False
-0.12,0.09,0.001,1.5002,194.07,-69.712,2.784,0.5543,False
-0.12,0.09,0.0015,1.5002,194.07,-69.712,2.784,0.5543,False
-0.12,0.09,0.003,1.5002,194.07,-69.712,2.784,0.5543,False
-0.12,0.095,0.001,1.4823,189.07,-70.261,2.691,0.5592,False
-0.12,0.095,0.0015,1.4823,189.07,-70.261,2.691,0.5592,False
-0.12,0.095,0.003,1.4823,189.07,-70.261,2.691,0.5592,False
-0.12,0.1,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.1,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.1,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.105,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.105,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.105,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.11,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.11,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.11,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.115,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.115,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.115,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.12,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.12,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.12,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.125,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.125,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.125,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.13,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.13,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.12,0.13,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.13,0.04,0.001,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.13,0.04,0.0015,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.13,0.04,0.003,0.5029,-3.51,-70.782,-0.05,1.6827,False
-0.13,0.045,0.001,0.6465,14.79,-65.697,0.225,1.7028,False
-0.13,0.045,0.0015,0.6465,14.79,-65.697,0.225,1.7028,False
-0.13,0.045,0.003,0.6465,14.79,-65.697,0.225,1.7028,False
-0.13,0.05,0.001,0.9995,72.27,-67.218,1.075,0.9339,False
-0.13,0.05,0.0015,0.9995,72.27,-67.218,1.075,0.9339,False
-0.13,0.05,0.003,0.9995,72.27,-67.218,1.075,0.9339,False
-0.13,0.055,0.001,1.0534,83.84,-66.205,1.266,0.8943,False
-0.13,0.055,0.0015,1.0534,83.84,-66.205,1.266,0.8943,False
-0.13,0.055,0.003,1.0534,83.84,-66.205,1.266,0.8943,False
-0.13,0.06,0.001,1.4932,194.3,-67.3,2.887,0.5705,False
-0.13,0.06,0.0015,1.4932,194.3,-67.3,2.887,0.5705,False
-0.13,0.06,0.003,1.4932,194.3,-67.3,2.887,0.5705,False
-0.13,0.065,0.001,1.4036,169.78,-67.3,2.523,0.627,False
-0.13,0.065,0.0015,1.4036,169.78,-67.3,2.523,0.627,False
-0.13,0.065,0.003,1.4036,169.78,-67.3,2.523,0.627,False
-0.13,0.075,0.001,1.1687,106.74,-68.66,1.555,0.8276,False
-0.13,0.075,0.0015,1.1687,106.74,-68.66,1.555,0.8276,False
-0.13,0.075,0.003,1.1687,106.74,-68.66,1.555,0.8276,False
-0.13,0.08,0.001,1.5362,204.36,-68.66,2.976,0.5445,False
-0.13,0.08,0.0015,1.5362,204.36,-68.66,2.976,0.5445,False
-0.13,0.08,0.003,1.5362,204.36,-68.66,2.976,0.5445,False
-0.13,0.085,0.001,1.5145,198.07,-69.285,2.859,0.5503,False
-0.13,0.085,0.0015,1.5145,198.07,-69.285,2.859,0.5503,False
-0.13,0.085,0.003,1.5145,198.07,-69.285,2.859,0.5503,False
-0.13,0.09,0.001,1.5002,194.07,-69.712,2.784,0.5543,False
-0.13,0.09,0.0015,1.5002,194.07,-69.712,2.784,0.5543,False
-0.13,0.09,0.003,1.5002,194.07,-69.712,2.784,0.5543,False
-0.13,0.095,0.001,1.4823,189.07,-70.261,2.691,0.5592,False
-0.13,0.095,0.0015,1.4823,189.07,-70.261,2.691,0.5592,False
-0.13,0.095,0.003,1.4823,189.07,-70.261,2.691,0.5592,False
-0.13,0.1,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.13,0.1,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.13,0.1,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.13,0.105,0.001,1.51,197.24,-69.348,2.844,0.5568,False
-0.13,0.105,0.0015,1.51,197.24,-69.348,2.844,0.5568,False
-0.13,0.105,0.003,1.51,197.24,-69.348,2.844,0.5568,False
-0.13,0.11,0.001,1.51,197.24,-69.348,2.844,0.5568,False
