EARLY_KILL_Y,PORT_SL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,-0.07,3.7188,20720.09,-37.919,-25.667,546.424,0.4499,False
0.001,-0.075,3.7771,21637.09,-39.031,-27.3,554.356,0.3993,False
0.001,-0.08,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.001,-0.085,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.001,-0.1,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.0015,-0.04,3.0898,7779.94,-53.549,-27.615,145.286,0.439,False
0.0015,-0.05,3.6516,18367.1,-44.11,-31.65,416.391,0.4014,False
0.0015,-0.055,3.5235,16016.34,-46.193,-34.335,346.724,0.4268,False
0.0015,-0.06,3.741,20795.32,-38.87,-24.009,534.992,0.4334,False
0.0015,-0.065,3.6942,19477.33,-41.572,-23.196,468.521,0.444,False
0.0015,-0.07,3.7188,20720.09,-37.919,-25.667,546.424,0.4499,False
0.0015,-0.075,3.7771,21637.09,-39.031,-27.3,554.356,0.3993,False
0.0015,-0.08,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.0015,-0.085,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.0015,-0.1,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.002,-0.04,3.0898,7779.94,-53.549,-27.615,145.286,0.439,False
0.002,-0.05,3.6516,18367.1,-44.11,-31.65,416.391,0.4014,False
0.002,-0.055,3.5235,16016.34,-46.193,-34.335,346.724,0.4268,False
0.002,-0.06,3.741,20795.32,-38.87,-24.009,534.992,0.4334,False
0.002,-0.065,3.6942,19477.33,-41.572,-23.196,468.521,0.444,False
0.002,-0.07,3.7188,20720.09,-37.919,-25.667,546.424,0.4499,False
0.002,-0.075,3.7771,21637.09,-39.031,-27.3,554.356,0.3993,False
0.002,-0.08,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.002,-0.085,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.002,-0.1,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.0025,-0.04,3.0898,7779.94,-53.549,-27.615,145.286,0.439,False
0.0025,-0.05,3.6516,18367.1,-44.11,-31.65,416.391,0.4014,False
0.0025,-0.055,3.5235,16016.34,-46.193,-34.335,346.724,0.4268,False
0.0025,-0.06,3.741,20795.32,-38.87,-24.009,534.992,0.4334,False
0.0025,-0.065,3.6942,19477.33,-41.572,-23.196,468.521,0.444,False
0.0025,-0.07,3.7188,20720.09,-37.919,-25.667,546.424,0.4499,False
0.0025,-0.075,3.7771,21637.09,-39.031,-27.3,554.356,0.3993,False
0.0025,-0.08,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.0025,-0.085,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.0025,-0.1,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.003,-0.04,3.0898,7779.94,-53.549,-27.615,145.286,0.439,False
0.003,-0.05,3.6516,18367.1,-44.11,-31.65,416.391,0.4014,False
0.003,-0.055,3.5235,16016.34,-46.193,-34.335,346.724,0.4268,False
0.003,-0.06,3.741,20795.32,-38.87,-24.009,534.992,0.4334,True
0.003,-0.065,3.6942,19477.33,-41.572,-23.196,468.521,0.444,False
0.003,-0.07,3.7188,20720.09,-37.919,-25.667,546.424,0.4499,False
0.003,-0.075,3.7771,21637.09,-39.031,-27.3,554.356,0.3993,False
0.003,-0.08,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.003,-0.085,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
0.003,-0.1,3.7759,21618.78,-39.222,-27.527,551.197,0.3997,False
