L_BASE,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.3,1.0,0.8084,23.98,-29.229,-6.46,0.82,2.7098,False
0.3,1.2,0.8084,27.8,-34.239,-7.752,0.812,2.7098,False
0.3,1.4,0.8084,31.2,-38.982,-9.044,0.8,2.7098,False
0.3,1.5,0.8084,32.73,-41.255,-9.69,0.793,2.7098,False
0.3,1.6,0.8084,34.15,-43.464,-10.336,0.786,2.7098,False
0.3,1.8,0.8084,36.61,-47.692,-11.628,0.768,2.7098,False
0.3,2.0,0.8084,38.57,-51.674,-12.92,0.746,2.7098,False
0.4,0.6,0.8084,15.23,-18.385,-3.876,0.828,2.7098,False
0.4,0.8,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.4,1.0,0.8084,23.98,-29.229,-6.46,0.82,2.7098,False
0.4,1.2,0.8084,27.8,-34.239,-7.752,0.812,2.7098,False
0.4,1.4,0.8084,31.2,-38.982,-9.044,0.8,2.7098,False
0.4,1.5,0.8084,32.73,-41.255,-9.69,0.793,2.7098,False
0.4,1.6,0.8084,34.15,-43.464,-10.336,0.786,2.7098,False
0.4,1.8,0.8084,36.61,-47.692,-11.628,0.768,2.7098,False
0.4,2.0,0.8084,38.57,-51.674,-12.92,0.746,2.7098,False
0.5,0.6,0.8084,15.23,-18.385,-3.876,0.828,2.7098,False
0.5,0.8,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.5,1.0,0.8084,23.98,-29.229,-6.46,0.82,2.7098,False
0.5,1.2,0.8084,27.8,-34.239,-7.752,0.812,2.7098,False
0.5,1.4,0.8084,31.2,-38.982,-9.044,0.8,2.7098,False
0.5,1.5,0.8084,32.73,-41.255,-9.69,0.793,2.7098,False
0.5,1.6,0.8084,34.15,-43.464,-10.336,0.786,2.7098,False
0.5,1.8,0.8084,36.61,-47.692,-11.628,0.768,2.7098,False
0.5,2.0,0.8084,38.57,-51.674,-12.92,0.746,2.7098,False
0.6,0.6,0.8084,15.23,-18.385,-3.876,0.828,2.7098,False
0.6,0.8,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.6,1.0,0.8084,23.98,-29.229,-6.46,0.82,2.7098,False
0.6,1.2,0.8084,27.8,-34.239,-7.752,0.812,2.7098,False
0.6,1.4,0.8084,31.2,-38.982,-9.044,0.8,2.7098,False
0.6,1.5,0.8084,32.73,-41.255,-9.69,0.793,2.7098,False
0.6,1.6,0.8084,34.15,-43.464,-10.336,0.786,2.7098,False
0.6,1.8,0.8084,36.61,-47.692,-11.628,0.768,2.7098,False
0.6,2.0,0.8084,38.57,-51.674,-12.92,0.746,2.7098,False
0.7,0.6,0.8084,15.23,-18.385,-3.876,0.828,2.7098,False
0.7,0.8,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.7,1.0,0.8084,23.98,-29.229,-6.46,0.82,2.7098,False
0.7,1.2,0.8084,27.8,-34.239,-7.752,0.812,2.7098,False
0.7,1.4,0.8084,31.2,-38.982,-9.044,0.8,2.7098,False
0.7,1.5,0.8084,32.73,-41.255,-9.69,0.793,2.7098,False
0.7,1.6,0.8084,34.15,-43.464,-10.336,0.786,2.7098,False
0.7,1.8,0.8084,36.61,-47.692,-11.628,0.768,2.7098,False
0.7,2.0,0.8084,38.57,-51.674,-12.92,0.746,2.7098,False
0.75,0.6,0.8084,15.23,-18.385,-3.876,0.828,2.7098,False
0.75,0.8,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.75,1.0,0.8084,23.98,-29.229,-6.46,0.82,2.7098,False
0.75,1.2,0.8084,27.8,-34.239,-7.752,0.812,2.7098,False
0.75,1.4,0.8084,31.2,-38.982,-9.044,0.8,2.7098,False
0.75,1.5,0.8084,32.73,-41.255,-9.69,0.793,2.7098,False
0.75,1.6,0.8084,34.15,-43.464,-10.336,0.786,2.7098,False
0.75,1.8,0.8084,36.61,-47.692,-11.628,0.768,2.7098,False
0.75,2.0,0.8084,38.57,-51.674,-12.92,0.746,2.7098,False
0.8,0.6,0.8084,15.23,-18.385,-3.876,0.828,2.7098,False
0.8,0.8,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.8,1.0,0.8084,23.98,-29.229,-6.46,0.82,2.7098,False
0.8,1.2,0.8084,27.8,-34.239,-7.752,0.812,2.7098,False
0.8,1.4,0.8084,31.2,-38.982,-9.044,0.8,2.7098,False
0.8,1.5,0.8084,32.73,-41.255,-9.69,0.793,2.7098,False
0.8,1.6,0.8084,34.15,-43.464,-10.336,0.786,2.7098,False
0.8,1.8,0.8084,36.61,-47.692,-11.628,0.768,2.7098,False
0.8,2.0,0.8084,38.57,-51.674,-12.92,0.746,2.7098,False
0.9,0.6,0.8084,15.23,-18.385,-3.876,0.828,2.7098,False
0.9,0.8,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.9,1.0,0.8084,23.98,-29.229,-6.46,0.82,2.7098,False
0.9,1.2,0.8084,27.8,-34.239,-7.752,0.812,2.7098,False
0.9,1.4,0.8084,31.2,-38.982,-9.044,0.8,2.7098,False
0.9,1.5,0.8084,32.73,-41.255,-9.69,0.793,2.7098,False
0.9,1.6,0.8084,34.15,-43.464,-10.336,0.786,2.7098,False
0.9,1.8,0.8084,36.61,-47.692,-11.628,0.768,2.7098,False
0.9,2.0,0.8084,38.57,-51.674,-12.92,0.746,2.7098,False
1.0,0.6,0.8084,15.23,-18.385,-3.876,0.828,2.7098,False
1.0,0.8,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
1.0,1.0,0.8084,23.98,-29.229,-6.46,0.82,2.7098,False
1.0,1.2,0.8084,27.8,-34.239,-7.752,0.812,2.7098,False
1.0,1.4,0.8084,31.2,-38.982,-9.044,0.8,2.7098,False
1.0,1.5,0.8084,32.73,-41.255,-9.69,0.793,2.7098,False
1.0,1.6,0.8084,34.15,-43.464,-10.336,0.786,2.7098,False
1.0,1.8,0.8084,36.61,-47.692,-11.628,0.768,2.7098,False
1.0,2.0,0.8084,38.57,-51.674,-12.92,0.746,2.7098,False
