TRAIL_DD,EARLY_X,Sharpe,MaxDD%,WF_CV,Fold5_Sharpe,Fold8_Sharpe,Flat_days
0.04,35,1.986,-41.67,2.795,2.556,-0.262,291
0.05,35,3.056,-43.54,1.3,4.338,2.259,291
0.06,35,3.253,-29.15,0.659,3.927,3.929,291
0.07,35,3.539,-31.34,0.579,3.78,6.876,291
0.08,35,3.57,-31.51,0.585,3.668,6.876,291
0.09,35,3.546,-33.12,0.588,3.668,6.876,291
0.1,35,3.584,-28.21,0.568,3.668,6.876,291
0.11,35,3.579,-28.21,0.568,3.668,6.876,291
0.12,35,3.573,-28.21,0.568,3.668,6.876,291
0.13,35,3.573,-28.21,0.568,3.668,6.876,291
0.14,35,3.573,-28.21,0.568,3.668,6.876,291
0.15,35,3.573,-28.21,0.568,3.668,6.876,291
0.16,35,3.573,-28.21,0.568,3.668,6.876,291
