Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,3.76,Pass
Return Quality,Sortino Ratio,>3.0,12.30,Pass
Return Quality,Calmar Ratio,>3.0,457.83,Pass
Return Quality,CAGR %,>30%,18668.05%,Pass
Return Quality,Return / MaxDD,>3x,457.83,Pass
Return Quality,Gross Return %,info,760.64%,N/A
Return Quality,Net Return %,info,724.95%,N/A
Return Quality,CAGR / Total Return (×),info,25.75,N/A
Return Quality,Equity Multiplier (×),info,8.25,N/A
Return Quality,Doubling Periods,info,3.04,N/A
Return Quality,Volatility Drag Ann %,info,156.13,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,3.69,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,3.69,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,2.84,Pass
Return Quality,Avg Monthly Return %,>0%,54.67%,Pass
Return Quality,Worst Monthly Return %,>-20%,7.57%,Pass
Robustness & Validation,FA Walk-Forward CV,<0.25,0.33,Pass
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,1.204,Fail
Robustness & Validation,FA-WF % Folds Positive,>80%,100.00%,Pass
Robustness & Validation,FA-WF Unstable Folds,0,0,Pass
Robustness & Validation,FA-WF Mean DSR %,>80%,88.31%,Pass
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,99.76%,Pass
Robustness & Validation,PBO %,<30%,35.56,Fail
Robustness & Validation,Performance Degradation,<0.3,0.467,Fail
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,3.511,Pass
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,5.42,Pass
Risk Profile,Max Drawdown %,>-30%,-40.78%,Fail
Risk Profile,Avg Drawdown %,>-15%,-15.19%,Fail
Risk Profile,Avg DD Recovery (days),<90d,15d,Pass
Risk Profile,Ulcer Index,<10,13.63,Fail
Risk Profile,Max DD Duration (days),<180d,45.00,Pass
Risk Profile,% Time Underwater,<70%,62.66,Pass
Risk Profile,Worst Single Day %,>-10%,-22.42%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-16.79,Pass
Risk Profile,Consecutive Loss Streak,<7d,5,Pass
Risk Profile,Probability of Loss %,<5%,0.00%,Pass
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,35.40,Fail
Risk Profile,Tail Ratio,>1.2,1.93,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,1.80,Pass
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.983,Pass
Market Independence,Return Autocorrelation,≈0,-0.104,Borderline
Execution & Capacity,Sharpe @2× Slippage,>1.5,3.76,Pass
Execution & Capacity,Total Fee Drag %,<5%,4.33%,Pass
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.33%,Fail
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.09%,Fail
Execution & Capacity,Avg Leverage Used,info,3.34×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,26.88%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,6.9/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
