EARLY_KILL_Y,PORT_SL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.002,-0.065,3.7672,843.12,-16.679,-8.233,50.548,0.4604,False
0.002,-0.07,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.002,-0.075,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.002,-0.08,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.002,-0.085,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.002,-0.1,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.0025,-0.04,3.0784,615.38,-22.76,-10.126,27.037,0.456,False
0.0025,-0.05,3.6141,782.32,-17.822,-11.605,43.896,0.417,False
0.0025,-0.055,3.5132,769.07,-18.627,-12.59,41.288,0.4448,False
0.0025,-0.06,3.7785,842.96,-16.707,-8.22,50.457,0.4518,False
0.0025,-0.065,3.7672,843.12,-16.679,-8.233,50.548,0.4604,False
0.0025,-0.07,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.0025,-0.075,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.0025,-0.08,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.0025,-0.085,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.0025,-0.1,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.003,-0.04,3.0784,615.38,-22.76,-10.126,27.037,0.456,False
0.003,-0.05,3.6141,782.32,-17.822,-11.605,43.896,0.417,False
0.003,-0.055,3.5132,769.07,-18.627,-12.59,41.288,0.4448,False
0.003,-0.06,3.7785,842.96,-16.707,-8.22,50.457,0.4518,True
0.003,-0.065,3.7672,843.12,-16.679,-8.233,50.548,0.4604,False
0.003,-0.07,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.003,-0.075,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.003,-0.08,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.003,-0.085,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
0.003,-0.1,3.7626,843.41,-16.679,-8.571,50.566,0.4626,False
